Identifier, Digikey                
C2        , 490-6328-1-ND          
C8        , 490-6328-1-ND          
C9        , 1276-6459-1-ND         
C11       , 1276-6459-1-ND         
C12       , 490-6328-1-ND          
D1        , 732-4981-1-ND          
D3        , 1SMB58AT3GOSCT-ND      
Q1        , CPH3351-TL-WOSCT-ND    
R1        , 311-120HRCT-ND         
R4        , 311-220JRCT-ND         
R7        , 311-1.0KJRCT-ND        
R8        , 311-1.0KJRCT-ND        
R9        , 311-22KJRCT-ND         
R10       , 311-47KJRCT-ND         
R11       , 311-680HRCT-ND         
R12       , 311-680HRCT-ND         
SW1       , EG4621CT-ND            
U1        , ISL83485IBZ-TCT-ND     
U3        , 497-14046-ND           
U5        , 296-40695-6-ND         
C1        , 445-6043-1-ND          
C3        , 490-6328-1-ND          
C4        , 490-6353-1-ND          
C5        , 490-5868-1-ND          
C6        , P16482CT-ND            
C7        , P16482CT-ND            
C10       , 445-6043-1-ND          
D2        , 497-10993-1-ND         
L1        , XAL6060-103MEB         
R2        , 311-270KJRCT-ND        
R3        , 311-27JRCT-ND          
R5        , RC0402FR-0768KL        
R6        , RC0402FR-0712KL        
U2        , 296-36527-1-ND         
U4        , NCP1117LPST33T3GOSCT-ND
